product,description,review,rating,price,num_ratings,num_reviews,ram_gb,storage_gb,display_inch,camera_mp,battery_mah,warranty_years
"SAMSUNG Galaxy A56 5G (Awesome Light Gray, 256 GB)",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 5MP | 12MP Front Camera5000 mAh BatterySamsung Exynos 1580 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,38 Ratings & 6 Reviews,4.6,47800.0,38.0,6.0,12.0,256.0,6.7,50.0,5000.0,1.0
"OPPO Reno13 Pro 5G (Graphite Grey, 256 GB)",12 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Display50MP + 50MP + 8MP | 50MP Front Camera5800 mAh BatteryDimensity 8350 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,707 Ratings & 106 Reviews,4.5,49999.0,707.0,106.0,12.0,256.0,6.83,50.0,5800.0,1.0
"SAMSUNG Galaxy A56 5G (Awesome Light Gray, 128 GB)",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 5MP | 12MP Front Camera5000 mAh BatterySamsung Exynos 1580 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,57 Ratings & 4 Reviews,4.6,41990.0,57.0,4.0,8.0,128.0,6.7,50.0,5000.0,1.0
"SAMSUNG Galaxy A55 5G (Awesome Iceblue, 256 GB)",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 12MP + 5MP | 32MP Front Camera5000 mAh BatteryExynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,429 Ratings & 38 Reviews,4.3,45999.0,429.0,38.0,12.0,256.0,6.6,50.0,5000.0,1.0
"Xiaomi 14 CIVI (Cruise Blue, 512 GB)",12 GB RAM | 512 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,591 Ratings & 52 Reviews,4.3,43999.0,591.0,52.0,12.0,512.0,6.55,50.0,4700.0,1.0
"Xiaomi 14 CIVI (Hot Pink, 512 GB)",12 GB RAM | 512 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,591 Ratings & 52 Reviews,4.3,44999.0,591.0,52.0,12.0,512.0,6.55,50.0,4700.0,1.0
"vivo X80 (Cosmic Black, 128 GB)",8 GB RAM | 128 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 12MP + 12MP | 32MP Front Camera4500 mAh Lithium BatteryMediatek Dimensity 9000 Processor1 Year on Handset and 6 Months on Accessories,"1,047 Ratings & 179 Reviews",4.4,54999.0,47.0,179.0,8.0,128.0,6.78,50.0,4500.0,1.0
"vivo V25 Pro 5G (Sailing Blue, 256 GB)",12 GB RAM | 256 GB ROM16.66 cm (6.56 inch) Full HD+ Display64MP + 8MP + 2MP | 32MP Front Camera4830 mAh Lithium BatteryMediatek Dimensity 1300 ProcessorColor Changing Fluorite AG Glass Design120 Hz 3D Curve Display1 Year on Handset and 6 Months on Accessories,"1,713 Ratings & 188 Reviews",4.3,23679.0,713.0,188.0,12.0,256.0,6.56,50.0,4830.0,1.0
"vivo X90 (Asteroid Black, 256 GB)",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 12MP + 12MP | 32MP Front Camera4810 mAh BatteryDimensity 9200 Processor1 Year Handset and 6 Months Accessories,506 Ratings & 61 Reviews,4.3,48778.0,506.0,61.0,12.0,256.0,6.78,50.0,4810.0,1.0
"SAMSUNG Galaxy S23 5G (Cream, 128 GB)",8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"36,671 Ratings & 2,486 Reviews",4.6,44999.0,671.0,486.0,8.0,128.0,6.1,50.0,3900.0,1.0
"Infinix Zero Flip 5G (Blossom Glow, 512 GB)",8 GB RAM | 512 GB ROM17.53 cm (6.9 inch) Full HD+ Display50MP + 50MP | 50MP Front Camera4720 mAh Lithium-ion Polymer BatteryDimensity 8020 ProcessorStandard 1 Year on Handset and 6 Months on Accessories. Physical and Liquid Damange Not Covered Under The Standard Warranty.,188 Ratings & 53 Reviews,4.3,49999.0,188.0,53.0,8.0,512.0,6.9,50.0,4720.0,1.0
"SAMSUNG S23 5G (Cream, 256 GB)",8 GB RAM | 256 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"38,891 Ratings & 2,733 Reviews",4.6,49999.0,891.0,733.0,8.0,256.0,6.1,50.0,3900.0,1.0
"SAMSUNG Galaxy A55 5G (Awesome Navy, 256 GB)",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 12MP + 5MP | 32MP Front Camera5000 mAh BatterySamsung Exynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,429 Ratings & 38 Reviews,4.3,39990.0,429.0,38.0,12.0,256.0,6.6,50.0,5000.0,1.0
"OnePlus 10 Pro 5G (Volcanic Black, 128 GB)",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display48MP Rear Camera | 32MP Front Camera5000 mAh Battery1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories,778 Ratings & 50 Reviews,4.2,45999.0,778.0,50.0,8.0,128.0,6.7,48.0,5000.0,1.0
"IQOO 12 5G (Alpha, 512 GB)",16 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5000 mAh Battery1 Year Brand Warranty,9 Ratings & 1 Reviews,4.2,49995.0,9.0,1.0,16.0,512.0,6.78,50.0,5000.0,1.0
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Olive, 128 GB)",8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display12MP + 12MP + 8MP (OIS) | 32MP Front Camera4500 mAh Lithium-ion BatterySnapdragon 888 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"1,39,813 Ratings & 13,126 Reviews",4.3,45999.0,813.0,126.0,8.0,128.0,6.4,50.0,4500.0,1.0
"SAMSUNG Galaxy A56 5G (Awesome Light Gray, 256 GB)",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 5MP | 12MP Front Camera5000 mAh BatterySamsung Exynos 1580 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,57 Ratings & 4 Reviews,4.6,44999.0,57.0,4.0,8.0,256.0,6.7,50.0,5000.0,1.0
"OPPO Reno 12 Pro 5G (Space Brown, 512 GB)",12 GB RAM | 512 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 7300 Energy Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,"4,617 Ratings & 380 Reviews",4.4,40999.0,617.0,380.0,12.0,512.0,6.7,50.0,5000.0,1.0
"SAMSUNG Galaxy A56 5G (Awesome Olive, 256 GB)",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 5MP | 12MP Front Camera5000 mAh BatterySamsung Exynos 1580 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,38 Ratings & 6 Reviews,4.6,47999.0,38.0,6.0,12.0,256.0,6.7,50.0,5000.0,1.0
"Infinix Zero Flip 5G (Rock Black, 512 GB)",8 GB RAM | 512 GB ROM17.53 cm (6.9 inch) Full HD+ Display50MP + 50MP | 50MP Front Camera4720 mAh Lithium-ion Polymer BatteryDimensity 8020 ProcessorStandard 1 Year on Handset and 6 Months on Accessories. Physical and Liquid Damange Not Covered Under The Standard Warranty.,188 Ratings & 53 Reviews,4.3,49999.0,188.0,53.0,8.0,512.0,6.9,50.0,4720.0,1.0
